# t_cor, memoryf, rdudt, uu 
 (0.0000000e+00+0.0000000e+00j)  (1.2779991e-01-8.6734717e-19j)  (5.5949720e-03+8.0344459e-20j)  (4.3779155e-02+0.0000000e+00j)
 (1.8000000e+00+0.0000000e+00j)  (-1.3433420e-03-1.3532886e-03j)  (-5.8810377e-05-5.9245829e-05j)  (4.1096594e-02+8.5883463e-04j)

 (1.8500000e+00+0.0000000e+00j)  (-2.7854554e-04-1.0523193e-03j)  (-1.2194488e-05-4.6069648e-05j)  (4.1018525e-02+8.8760566e-04j)

 (1.9000000e+00+0.0000000e+00j)  (6.7120086e-04-6.3344829e-04j)  (2.9384606e-05-2.7731830e-05j)  (4.0940778e-02+9.1702770e-04j)

 (1.9500000e+00+0.0000000e+00j)  (1.6064941e-03-1.3065958e-04j)  (7.0330953e-05-5.7201658e-06j)  (4.0864123e-02+9.4720621e-04j)

 (2.0000000e+00+0.0000000e+00j)  (2.5379619e-03+4.2926625e-04j)  (1.1110983e-04+1.8792914e-05j)  (4.0788183e-02+9.7758652e-04j)

 (2.0500000e+00+0.0000000e+00j)  (3.3684646e-03+1.0249217e-03j)  (1.4746853e-04+4.4870207e-05j)  (4.0712099e-02+1.0078892e-03j)

 (2.1000000e+00+0.0000000e+00j)  (4.0854754e-03+1.6558712e-03j)  (1.7885866e-04+7.2492640e-05j)  (4.0636124e-02+1.0384939e-03j)

 (2.1500000e+00+0.0000000e+00j)  (4.7352330e-03+2.2688348e-03j)  (2.0730450e-04+9.9327671e-05j)  (4.0560883e-02+1.0694953e-03j)

 (2.2000000e+00+0.0000000e+00j)  (5.4402487e-03+2.7316283e-03j)  (2.3816949e-04+1.1958838e-04j)  (4.0485800e-02+1.1004227e-03j)

 (2.2500000e+00+0.0000000e+00j)  (6.1757310e-03+3.0416147e-03j)  (2.7036828e-04+1.3315932e-04j)  (4.0409931e-02+1.1311075e-03j)

 (2.3000000e+00+0.0000000e+00j)  (6.8588048e-03+3.2797203e-03j)  (3.0027268e-04+1.4358338e-04j)  (4.0333593e-02+1.1619002e-03j)

 (2.3500000e+00+0.0000000e+00j)  (7.4443105e-03+3.3899750e-03j)  (3.2590562e-04+1.4841024e-04j)  (4.0257528e-02+1.1927661e-03j)

 (2.4000000e+00+0.0000000e+00j)  (7.9775150e-03+3.2000796e-03j)  (3.4924886e-04+1.4009678e-04j)  (4.0181257e-02+1.2231753e-03j)

 (2.4500000e+00+0.0000000e+00j)  (8.3609733e-03+2.7483991e-03j)  (3.6603634e-04+1.2032259e-04j)  (4.0103916e-02+1.2530215e-03j)

 (2.5000000e+00+0.0000000e+00j)  (8.4561711e-03+2.1901818e-03j)  (3.7020402e-04+9.5884308e-05j)  (4.0025903e-02+1.2827394e-03j)

 (2.5500000e+00+0.0000000e+00j)  (8.2128431e-03+1.5682220e-03j)  (3.5955133e-04+6.8655434e-05j)  (3.9948026e-02+1.3123969e-03j)

 (2.6000000e+00+0.0000000e+00j)  (7.6982424e-03+8.1312976e-04j)  (3.3702254e-04+3.5598133e-05j)  (3.9869904e-02+1.3415962e-03j)

 (2.6500000e+00+0.0000000e+00j)  (7.0762542e-03+1.2188659e-05j)  (3.0979243e-04+5.3360919e-07j)  (3.9790829e-02+1.3703276e-03j)

 (2.7000000e+00+0.0000000e+00j)  (6.4529786e-03-7.6312873e-04j)  (2.8250595e-04-3.3409131e-05j)  (3.9711290e-02+1.3990615e-03j)

 (2.7500000e+00+0.0000000e+00j)  (5.7347128e-03-1.4927449e-03j)  (2.5106088e-04-6.5351110e-05j)  (3.9632083e-02+1.4279059e-03j)

 (2.8000000e+00+0.0000000e+00j)  (4.8535775e-03-2.1738482e-03j)  (2.1248552e-04-9.5169237e-05j)  (3.9552794e-02+1.4565672e-03j)

 (2.8500000e+00+0.0000000e+00j)  (4.0492540e-03-2.7459092e-03j)  (1.7727292e-04-1.2021358e-04j)  (3.9472631e-02+1.4851473e-03j)

 (2.9000000e+00+0.0000000e+00j)  (3.4949195e-03-3.2164166e-03j)  (1.5300462e-04-1.4081200e-04j)  (3.9391939e-02+1.5141375e-03j)

 (2.9500000e+00+0.0000000e+00j)  (3.0432598e-03-3.5887827e-03j)  (1.3323134e-04-1.5711387e-04j)  (3.9311528e-02+1.5436027e-03j)

 (3.0000000e+00+0.0000000e+00j)  (2.5124504e-03-3.8462936e-03j)  (1.0999295e-04-1.6838748e-04j)  (3.9231195e-02+1.5731489e-03j)

 (3.0500000e+00+0.0000000e+00j)  (2.0526989e-03-3.9786624e-03j)  (8.9865424e-05-1.7418248e-04j)  (3.9150324e-02+1.6027596e-03j)

 (3.1000000e+00+0.0000000e+00j)  (1.7514472e-03-3.9829038e-03j)  (7.6676878e-05-1.7436816e-04j)  (3.9069249e-02+1.6328122e-03j)

 (3.1500000e+00+0.0000000e+00j)  (1.3318670e-03-3.7956466e-03j)  (5.8308012e-05-1.6617020e-04j)  (3.8988706e-02+1.6633037e-03j)

 (3.2000000e+00+0.0000000e+00j)  (6.0635400e-04-3.3728626e-03j)  (2.6545666e-05-1.4766107e-04j)  (3.8908466e-02+1.6938318e-03j)

 (3.2500000e+00+0.0000000e+00j)  (-1.8037273e-04-2.8066548e-03j)  (-7.8965657e-06-1.2287298e-04j)  (3.8827881e-02+1.7244322e-03j)

 (3.3000000e+00+0.0000000e+00j)  (-8.1692383e-04-2.1390459e-03j)  (-3.5764235e-05-9.3645622e-05j)  (3.8747218e-02+1.7555638e-03j)

 (3.3500000e+00+0.0000000e+00j)  (-1.5078713e-03-1.3364790e-03j)  (-6.6013330e-05-5.8509921e-05j)  (3.8667239e-02+1.7872429e-03j)

 (3.4000000e+00+0.0000000e+00j)  (-2.3778359e-03-4.3503629e-04j)  (-1.0409964e-04-1.9045521e-05j)  (3.8587846e-02+1.8189587e-03j)

 (3.4500000e+00+0.0000000e+00j)  (-3.1879235e-03+4.7092488e-04j)  (-1.3956460e-04+2.0616693e-05j)  (3.8508505e-02+1.8505846e-03j)

 (3.5000000e+00+0.0000000e+00j)  (-3.6700053e-03+1.3785941e-03j)  (-1.6066973e-04+6.0353684e-05j)  (3.8429503e-02+1.8824880e-03j)

 (3.5500000e+00+0.0000000e+00j)  (-3.9173127e-03+2.2000649e-03j)  (-1.7149664e-04+9.6316983e-05j)  (3.8351613e-02+1.9146658e-03j)

 (3.6000000e+00+0.0000000e+00j)  (-4.0991742e-03+2.7290580e-03j)  (-1.7945838e-04+1.1947585e-04j)  (3.8274759e-02+1.9466129e-03j)

 (3.6500000e+00+0.0000000e+00j)  (-4.1647046e-03+2.9738451e-03j)  (-1.8232724e-04+1.3019243e-04j)  (3.8198308e-02+1.9782304e-03j)

 (3.7000000e+00+0.0000000e+00j)  (-3.8994977e-03+3.0949764e-03j)  (-1.7071671e-04+1.3549545e-04j)  (3.8122298e-02+2.0098941e-03j)

 (3.7500000e+00+0.0000000e+00j)  (-3.3655147e-03+3.0947276e-03j)  (-1.4733939e-04+1.3548456e-04j)  (3.8047260e-02+2.0416120e-03j)

 (3.8000000e+00+0.0000000e+00j)  (-2.7940214e-03+2.8465514e-03j)  (-1.2231989e-04+1.2461961e-04j)  (3.7972996e-02+2.0729895e-03j)

 (3.8500000e+00+0.0000000e+00j)  (-2.3593284e-03+2.4691042e-03j)  (-1.0328940e-04+1.0809530e-04j)  (3.7898877e-02+2.1040679e-03j)

